My Bigger Team
O,21,Jodi Doe,RF,1.0,.305,.980
O,11,Tina Dobbs,RF,1.0,.350,.97
O,13,Nina Dobbs,LF,1.0,.478,0.95
O,12,Poppi Ledet,LF,1.0,0.325,0.96
O,14,Sruthi Yalamanchili,CF,1.0,0.285,0.94
O,15,Kavya Krishnappa,CF,1.0,0.298,0.93
I,29,Sandy Chintapalli,1B,1.25,0.265,0.88
I,17,Janie Doe,1B,1.25,0.350,0.97
I,18,Buddy Bell,2B,1.25,0.325,0.86
I,19,Gigi de la Hoya,2B,1.25,0.278,0.95
I,20,Daisy Doalot,3B,1.25,0.285,0.94
I,10,Mikie Mahtook,3B,1.25,0.298,0.93
I,22,Matty Ott,SS,1.25,0.298,0.88
I,23,Leah Coleman,SS,1.25,0.350,0.97
H,24,Nola Austin,LHP,2.0,0.225,4,12,1.2
P,25,Erin Noland,RHP,2.0,.278,5,11,4.3
P,26,Jackie Malkovic,RHP,2.0,0.285,6,10,5.4
P,27,Lois Gibson,RHP,2.0,0.208,8,7,3.5
P,28,Gina Malika,LHP,2.0,0.200,7,8,1.6
P,16,Tika Brando,LHP,2.0,0.25,9,7,1.7
R,30,Belinda Striker,LHP,2.0,0.225,10,6,1.8,10
R,31,Lilly Dean,RHP,2.0,0.278,11,5,1.9,3
R,32,Briana Wilson,RHP,2.0,0.285,4,4,2.0,14
R,33,Janine Mason,RHP,2.0,0.298,5,3,2.1,12
R,34,Green Lantern,LHP,2.0,0.200,14,2,2.2,3
R,35,Bruce Wayne,LHP,2.0,0.175,15,1,2.3,4
R,36,Billie Gates,LHP,2.0,0.325,16,0,2.4,2
